RA_center_deg,DEC_center_deg,highz_count_within_1p128deg,region
144.001535,3.027709,2,inside_eFEDS
141.501535,3.027709,0,inside_eFEDS
132.001535,1.427709,0,inside_eFEDS
139.201535,1.155,4,inside_eFEDS
136.901535,-0.9572291,0,inside_eFEDS
143.301535,0.609,1,inside_eFEDS
129.53,4.454,0,inside_eFEDS
132.25,3.859,0,inside_eFEDS
135.85,1.111,0,inside_eFEDS
138.63,3.852,0,inside_eFEDS
