RA,Dec,redshift,rmag,set_id
41.069226000000015,0.31460761,1.1951886415481567,21.38455390930176,1
40.47071900000003,-0.428579,1.6157811880111694,22.38043212890625,1
41.157929000000024,0.7755422,1.3185924291610718,21.750185012817383,1
40.81388700000002,0.53990149,1.2963130474090576,22.043155670166016,1
40.58811300000002,-0.297776,1.5210349559783936,21.05855178833008,1
40.47126464548424,-0.5056499464040481,1.863004619641539,22.512784957885746,1
41.27615747497005,-0.4304756420072472,1.5747578020991373,22.62822914123535,1
40.21275312526802,-0.3106883489840318,1.5713260967774116,21.491703033447266,1
40.69803400000001,0.0835287,1.0056462287902832,20.855329513549805,1
41.03297299999997,0.1416849,1.480970025062561,22.33297538757324,1
40.677167,-0.370278,1.910091519355774,20.773548126220703,1
40.989018999999985,-0.39459,1.0918916463851929,21.661209106445312,1
40.41159499999998,-0.47524199,1.55377995967865,21.509662628173828,1
41.480344,-0.123051,1.6485487222671509,20.282724380493164,1
40.501034,0.58084059,1.6911708116531372,0.0,1
40.85850499999998,-0.54343701,1.114050030708313,20.710418701171875,1
41.07987700000001,-0.65076301,1.3855875730514526,21.154760360717773,1
41.57119981487249,-0.100752499663841,1.142596133703936,18.031147003173828,1
41.02052213623041,-0.6325789591175989,1.791325271629656,21.834068298339844,1
40.1952495204314,-0.2236080991191193,1.1047323526905612,20.622983932495117,1
41.318284000000006,0.069018201,1.4370847940444946,21.92782974243164,1
41.254189,0.85608877,1.256053447723389,23.063142776489254,1
40.58005600000001,-0.175442,1.669040560722351,21.03481101989746,1
41.20643100000001,-0.51981001,1.8422422409057615,20.741382598876953,1
41.531889999999976,-0.55020799,1.646999478340149,21.91238021850586,1
41.729173,0.73224118,1.8781667947769165,19.202951431274418,1
40.42575219803992,0.2042457712726574,1.681794414713316,21.66720962524414,1
41.66177600000003,0.4550127,1.170067548751831,19.87353515625,1
41.08476200000001,1.0272342,1.0542281866073608,21.90703582763672,1
40.84932635612187,-0.6202684112687769,1.913417852516399,21.24386978149414,1
40.465652999999975,-0.331575,1.2923625707626345,19.86968421936035,1
