RA_center_deg,DEC_center_deg,count_within_1p128deg,field_id
144.001535,3.027709,1577,eFEDS_1
141.501535,3.027709,1572,eFEDS_2
132.001535,1.427709,1536,eFEDS_3
139.201535,1.155,1514,eFEDS_4
136.901535,-0.9572291,1473,eFEDS_5
143.301535,0.609,1405,eFEDS_6
129.53,4.454,1221,eFEDS_7
132.25,3.859,1221,eFEDS_8
135.85,1.111,1221,eFEDS_9
138.63,3.852,1221,eFEDS_10

