desi,name,ra,dec,z,zmag,zmagerr
DESI ,J030636.92-122242.4    ,46.65382,-12.37845,5.15,19.24,0.01
DESI ,J031726.27-033733.5    ,49.35948,-3.62599,5.21,20.41,0.01
DESI ,J031805.39-032310.2    ,49.52247,-3.38617,5.19,19.53,0.01
DESI ,J032810.18+010510.4    ,52.04241,1.08624,4.96,20.93,0.02
DESI ,J032829.73-012647.7    ,52.12388,-1.4466,4.88,20.29,0.01
DESI ,J033246.16-112459.1    ,53.19231,-11.41642,5.5,20.7,0.01
DESI ,J033428.46-061408.1    ,53.61857,-6.23559,5.78,21.09,0.02
DESI ,J033438.16-052557.8    ,53.65899,-5.43273,6.21,20.82,0.01
DESI ,J034108.07-021231.9    ,55.28363,-2.20887,5.44,21.13,0.02
DESI ,J034141.03-111605.4    ,55.42095,-11.26817,4.77,21.12,0.02
DESI ,J034652.65-012128.8    ,56.71939,-1.35801,5.14,21.2,0.03
DESI ,J035442.10-093448.1    ,58.67544,-9.58004,5.27,21.28,0.03
DESI ,J040302.56-170641.0    ,60.76067,-17.1114,4.89,19.8,0.01
DESI ,J040331.90-035508.3    ,60.88293,-3.91899,6.19,20.54,0.01
DESI ,J040407.83-044134.8    ,61.03264,-4.69301,5.95,21.17,0.02
DESI ,J040627.31-085828.9    ,61.61377,-8.9747,4.89,21.24,0.03
DESI ,J040632.22-115308.0    ,61.63427,-11.88556,4.98,20.76,0.02
DESI ,J040734.55-035341.9    ,61.89394,-3.89498,4.93,21.18,0.02
DESI ,J041314.79-135935.9    ,63.31161,-13.99331,5.24,19.58,0.01
DESI ,J041527.54-080608.6    ,63.86475,-8.10241,4.96,19.82,0.01
DESI ,J041720.62-123510.3    ,64.33591,-12.58621,5.13,21.37,0.03
DESI ,J041741.54-073609.6    ,64.42309,-7.60268,4.85,20.31,0.01
DESI ,J042624.04-012518.7    ,66.60017,-1.42187,4.72,18.99,0.004
DESI ,J043054.95-092733.8    ,67.72895,-9.45942,4.93,19.47,0.01
DESI ,J043104.79-083254.1    ,67.76994,-8.54838,5.26,21.07,0.02
DESI ,J043131.01-040052.7    ,67.8792,-4.01466,4.73,21.27,0.03
DESI ,J044027.61-094837.0    ,70.11503,-9.81029,4.89,20.2,0.01
DESI ,J044555.73-095746.0    ,71.48221,-9.9628,5.56,20.66,0.01
DESI ,J044755.41-013622.5    ,71.98086,-1.60625,4.7,21.07,0.03
DESI ,J045219.99-073259.4    ,73.08327,-7.54983,5.09,21.07,0.02
DESI ,J045251.82-075421.3    ,73.21593,-7.90594,4.93,21.27,0.03
DESI ,J061644.49+622324.5    ,94.18536,62.39014,4.88,21.36,0.03
DESI ,J070906.78+572920.3   ,107.27824,57.48899,5.03,21.24,0.03
DESI ,J071354.33+342952.0   ,108.47638,34.49778,4.82,20.7,0.02
DESI ,J071618.18+380630.9   ,109.07573,38.10861,4.96,20.92,0.02
DESI ,J071931.84+381332.8   ,109.88266,38.2258,5.34,20.43,0.02
DESI ,J073354.55+450753.4   ,113.47728,45.13152,4.9,20.83,0.02
DESI ,J073625.78+274848.7   ,114.10741,27.81353,5.25,21.35,0.03
DESI ,J073848.04+261532.8   ,114.70018,26.25912,5.32,20.93,0.02
DESI ,J074215.56+215022.8   ,115.56483,21.83969,5.15,20.33,0.01
DESI ,J074515.27+192000.5   ,116.31361,19.3335,4.95,19.94,0.01
DESI ,J075802.45+250403.0   ,119.51022,25.06751,5.14,20.21,0.01
DESI ,J075804.94+385220.1   ,119.5206,38.87226,5.16,20.82,0.02
DESI ,J080120.15+464240.1   ,120.33394,46.71116,4.94,20.96,0.03
DESI ,J080143.64+264535.7   ,120.43185,26.75994,5.03,20.97,0.04
DESI ,J080253.91+331832.9   ,120.72462,33.30915,5.3,20.91,0.03
DESI ,J080402.44+170816.1   ,121.01015,17.13782,4.95,20.49,0.02
DESI ,J081053.67+745449.0   ,122.72362,74.91362,5.2,20.02,0.01
DESI ,J081224.49+065150.7   ,123.10203,6.86409,5.27,20.78,0.02
DESI ,J081449.41+443938.7   ,123.70587,44.66076,5.26,20.99,0.03
DESI ,J081651.57+731902.5   ,124.21487,73.31737,5.24,21.26,0.03
DESI ,J081833.27+354419.9   ,124.63864,35.73887,5.51,20.92,0.02
DESI ,J081936.42+020309.9   ,124.90176,2.05277,4.89,21.06,0.03
DESI ,J082142.70+344912.4   ,125.42793,34.82011,5.04,20.6,0.01
DESI ,J082207.84+731639.8   ,125.53268,73.27773,4.67,19.56,0.01
DESI ,J082231.13-022159.7   ,125.62971,-2.36658,4.92,20.27,0.02
DESI ,J082320.00+372447.2   ,125.83335,37.41311,4.94,20.56,0.01
DESI ,J082430.36+282252.8   ,126.12651,28.38133,5.28,20.98,0.04
DESI ,J082959.04+055636.5   ,127.49599,5.94347,4.44,20.26,0.03
DESI ,J083153.58-004617.5   ,127.97323,-0.77153,5.0,20.07,0.01
DESI ,J083905.22+301346.1   ,129.77176,30.22948,4.81,21.22,0.04
DESI ,J084630.61-014322.2   ,131.62753,-1.72284,5.02,19.94,0.01
