desi,name,ra,dec,z,zmag,zmagerr
DESI ,J171411.04+405017.4   ,258.54599,40.83817,4.88,20.86,0.02
DESI ,J171655.47+222013.8   ,259.23111,22.33719,4.98,20.49,0.02
DESI ,J172530.01+593439.2   ,261.37503,59.57758,4.73,21.3,0.04
DESI ,J172751.01+601952.3   ,261.96255,60.33122,5.91,20.33,0.02
DESI ,J173021.93+244619.1   ,262.59137,24.772,5.11,21.31,0.04
DESI ,J173115.81+305340.5   ,262.81586,30.89459,5.05,20.52,0.03
DESI ,J173607.80+375017.5   ,264.0325,37.83821,4.82,19.73,0.01
DESI ,J173913.23+444503.3   ,264.80515,44.75093,4.86,21.0,0.03
DESI ,J173922.47+521320.4   ,264.84363,52.22235,4.8,20.21,0.01
DESI ,J174539.81+355617.1   ,266.41586,35.93809,4.9,20.77,0.03
DESI ,J174856.70+503436.8   ,267.23627,50.57689,4.92,20.46,0.02
DESI ,J174927.89+303148.8   ,267.36621,30.53024,5.02,20.44,0.02
DESI ,J175622.57+634839.5   ,269.09406,63.81097,5.84,21.18,0.05
DESI ,J175912.62+462131.3   ,269.80261,46.3587,4.67,20.55,0.02
DESI ,J180109.40+665106.8   ,270.28915,66.85189,5.0,20.96,0.03
DESI ,J180546.94+491824.1 c ,271.44556,49.30671,5.73,20.54,0.02
DESI ,J183303.81+334325.6   ,278.2659,33.72379,4.58,20.93,0.03
DESI ,J183912.13+550436.9   ,279.80054,55.07694,5.0,21.4,0.04
DESI ,J183928.54+344956.3   ,279.8689,34.83232,4.88,21.2,0.04
DESI ,J184520.68+534547.1 c ,281.33615,53.76311,6.18,19.85,0.01
DESI ,J184834.50+581950.0   ,282.14377,58.33056,4.92,20.2,0.01
DESI ,J191435.44+631452.4 c ,288.64767,63.2479,5.93,20.52,0.03
DESI ,J191658.74+672352.5   ,289.24475,67.39794,4.92,21.04,0.04
DESI ,J204303.51-055452.5   ,310.76465,-5.9146,5.17,21.1,0.04
DESI ,J204938.17-042503.4   ,312.40903,-4.41762,4.92,19.95,0.01
DESI ,J210745.24+052417.3   ,316.93851,5.40483,4.85,21.02,0.03
DESI ,J213630.47+063324.7   ,324.12695,6.55688,5.23,20.12,0.02
DESI ,J214455.36-080405.0   ,326.23068,-8.06806,5.2,19.24,0.01
DESI ,J214748.01-010642.6   ,326.95004,-1.11184,5.0,21.31,0.02
DESI ,J214913.38-071711.8   ,327.30573,-7.28663,4.73,20.78,0.02
DESI ,J215559.44+255825.9   ,328.99768,25.97387,4.83,20.35,0.02
DESI ,J215834.58-075757.3   ,329.64407,-7.96593,5.45,19.85,0.01
DESI ,J221222.35+242658.4   ,333.09314,24.44956,4.9,20.37,0.02
DESI ,J222033.67+121322.3   ,335.14029,12.22289,4.74,21.13,0.04
DESI ,J222239.70+192255.9   ,335.66541,19.38222,4.75,20.97,0.03
DESI ,J222423.09+094850.4   ,336.09622,9.81402,5.73,21.05,0.03
DESI ,J222833.39+091547.2   ,337.13913,9.26312,5.33,20.27,0.02
DESI ,J223238.89+015059.1   ,338.16205,1.84977,5.84,21.32,0.03
DESI ,J223741.33-042955.5   ,339.42221,-4.49877,5.27,21.04,0.03
DESI ,J223753.82-054914.9   ,339.47427,-5.8208,4.9,20.78,0.03
DESI ,J223842.31+235731.7   ,339.6763,23.95882,6.03,20.32,0.02
DESI ,J223956.53-015132.0   ,339.98557,-1.85889,5.11,20.78,0.01
DESI ,J224025.71+073044.1   ,340.10712,7.51226,6.0,20.85,0.02
DESI ,J224357.55+044446.6   ,340.98981,4.74629,5.13,20.66,0.02
DESI ,J224741.16+092535.3   ,341.92148,9.42648,5.58,20.99,0.03
DESI ,J224808.02-120654.9   ,-342.03342,12.11526,5.1,20.57,0.02
DESI ,J224808.44+302442.2   ,342.03516,30.41173,5.25,20.91,0.03
DESI ,J225121.09-051350.8   ,342.83789,-5.2308,5.19,20.84,0.03
DESI ,J225658.38+150257.1   ,344.24323,15.04919,5.02,19.91,0.01
DESI ,J230152.65+165558.9   ,345.46939,16.93303,4.8,21.06,0.03
DESI ,J230409.00+102725.0   ,346.03748,10.45696,5.0,20.24,0.01
DESI ,J230623.46-113547.0   ,-346.59775,11.59639,4.9,19.51,0.01
DESI ,J231038.72+033613.9   ,347.66135,3.60389,4.8,20.51,0.02
DESI ,J231125.87-052509.7   ,347.85779,-5.41936,4.94,20.26,0.01
DESI ,J231153.87+154621.4   ,347.97446,15.77261,4.62,20.56,0.03
DESI ,J231216.03+311424.4   ,348.0668,31.24013,4.87,21.31,0.04
DESI ,J231627.96+213737.9   ,349.11649,21.62721,5.03,20.5,0.02
DESI ,J231630.51-012428.4   ,349.12711,-1.4079,5.2,20.74,0.01
DESI ,J232332.06+023848.4   ,350.88361,2.64679,5.11,20.94,0.03
DESI ,J232911.44+021720.6   ,352.29767,2.28907,4.84,20.24,0.01
DESI ,J233354.68-060522.9   ,353.47784,-6.08972,4.92,20.99,0.03
DESI ,J233410.03-081702.3   ,353.54178,-8.28398,5.42,20.84,0.03
DESI ,J233419.15-062626.2   ,353.5798,-6.44063,5.08,21.16,0.04
DESI ,J233456.62-105351.5   ,-353.73593,10.89766,5.17,20.57,0.02
DESI ,J233507.31+092725.3   ,353.78046,9.45705,5.2,21.26,0.03
DESI ,J234216.88+050856.7   ,355.57034,5.14911,6.0,21.1,0.02
DESI ,J235750.51-114244.5   ,-359.46045,11.71237,4.99,19.64,0.01
DESI ,J235839.43+124708.8   ,359.66428,12.78578,4.64,20.89,0.02
DESI ,J054840.05-223313.8 ,87.16687,-22.55383,4.63,20.38,0.01
DESI ,J055103.87-233959.8 ,87.76612,-23.66664,3.91,20.72,0.01
DESI ,J062712.07+481919.1 ,96.8003,48.32199,4.43,19.25,0.01
DESI ,J065435.94+364333.9 ,103.64975,36.72609,4.61,19.66,0.02
DESI ,J065918.89+364504.0 ,104.82872,36.75113,4.54,21.15,0.03
DESI ,J071943.37+424955.2 ,109.93072,42.83202,5.09,21.21,0.02
DESI ,J073853.30+182213.2 ,114.72207,18.37034,4.33,20.11,0.01
DESI ,J081344.95+342726.8 ,123.43731,34.45746,5.23,20.68,0.02
DESI ,J083558.88+321631.1 ,128.99533,32.27533,5.57,20.65,0.02
DESI ,J090025.72+305706.6 ,135.10716,30.95184,4.41,20.68,0.03
DESI ,J091332.51+314501.0 ,138.38547,31.75029,3.92,20.12,0.01
DESI ,J091444.89+020337.8 ,138.68703,2.06051,4.41,19.87,0.01
DESI ,J094314.99+642700.9 ,145.81244,64.45025,4.43,20.02,0.01
DESI ,J095330.88+700140.8 ,148.37868,70.02802,5.32,21.05,0.03
DESI ,J095519.52+021229.7 ,148.83131,2.20825,3.88,20.7,0.02
DESI ,J095629.67+321432.7 ,149.12361,32.24243,5.15,21.14,0.05
DESI ,J103049.13+320538.7 ,157.7047,32.09411,4.0,21.08,0.03
DESI ,J103609.43+333654.0 ,159.03931,33.61501,4.32,21.29,0.03
DESI ,J103630.59+311402.5 ,159.12747,31.23405,4.54,19.84,0.01
DESI ,J104418.06+843435.9 ,161.07526,84.57666,4.3,19.94,0.01
DESI ,J105805.63+332702.6 ,164.52344,33.45073,4.74,20.44,0.01
DESI ,J111233.93+841901.5 ,168.14139,84.31708,5.07,20.48,0.02
DESI ,J112612.76+830836.4 ,171.55316,83.14345,4.35,21.01,0.03
DESI ,J112902.93+820927.5 ,172.26221,82.15764,4.33,18.82,0.01
DESI ,J115329.59+283027.1 ,178.37328,28.50753,5.73,19.98,0.02
DESI ,J115356.93+273711.5 ,178.4872,27.61987,3.97,20.52,0.01
DESI ,J115537.05+282532.7 ,178.90436,28.42577,3.9,20.56,0.02
DESI ,J115855.52+262912.6 ,179.73132,26.48685,4.23,20.5,0.02
DESI ,J125214.84+262745.9 ,193.06181,26.46275,4.55,21.06,0.04
DESI ,J130530.85+313944.1 ,196.37856,31.66225,3.91,20.84,0.02
DESI ,J135716.95+225459.6 ,209.32062,22.91656,4.67,21.36,0.03
DESI ,J135942.71+222634.2 ,209.92795,22.44285,4.85,21.2,0.03
DESI ,J141550.25+311821.3 ,213.9594,31.30592,4.11,21.1,0.03
DESI ,J141809.66-010502.3 ,214.54027,-1.08399,4.0,19.9,0.01
DESI ,J150753.26+333228.9 ,226.97192,33.54136,4.36,20.69,0.02
DESI ,J150931.23+175158.6 ,227.38013,17.86628,4.72,20.7,0.03
DESI ,J163602.51+232043.0 ,249.01047,23.3453,4.54,21.25,0.03
DESI ,J171717.79+444653.3 ,259.32413,44.78148,4.5,18.13,0.002
